name,description,updatedAt
axios-mockapi-contactlist,Contact Manager App | Demonstrating CRUD operation using Axios with the help of MockAPI | React Project,2026-02-09T07:46:37Z
SpamDetection,,2026-02-01T05:17:57Z
semantic-audio-chunking,"Tool for extracting and segmenting meaningful audio-text pairs from YouTube videos. Includes video download, audio transcription, time alignment, and semantic chunking, Enhances transcription accuracy using ground-truth transcripts",2026-02-01T05:17:59Z
monte-carlo-simulation,,2026-02-01T05:17:56Z
MachineLearns,"Welcome to the Machine Learning Projects repository! This repository serves as a central hub for all of my projects related to Machine Learning. Here, you'll find a collection of projects, code samples, and resources that explore various aspects of machine learning and its modeling.",2026-02-09T07:46:38Z
fake-news-detection-model,,2026-02-01T05:17:51Z
AsiFunctions,"This repository contains a collection of my user-defined functions designed for reuse across various projects, enhancing efficiency by providing easily repurposable code.",2026-02-01T05:17:52Z
SentimentScoringModel,"This project focuses on performing sentiment analysis on Amazon reviews using natural language processing (NLP) techniques. It includes various steps, from data exploration and preprocessing to building and evaluating sentiment models.",2026-02-09T07:45:57Z
youtubescraping,,2026-02-01T05:17:45Z
CircuitStuff,,2026-02-01T05:17:41Z
Proutliner,Script that can be used to make a general project outline to initialize a python data science project,2026-02-01T05:17:29Z
Air-Quality-Analysis-AQA,"AQA is a data-driven project focused on analyzing air quality data sourced from data.gov.in. The project encompasses data preprocessing, analysis, and visualization to gain insights into air pollution levels across various locations in India. By examining six key pollutants, the project aims to raise awareness about the environmental issues",2026-02-09T07:46:21Z
ML-Case-Study,This is a machine learning case study given to me by our professor Gaurav Chettiyar,2026-02-01T05:17:26Z
flipkart-electric-scooter-data-analysis,"In this project, I have web scraped Electric Scooter data from Flipkart and turn it into a csv file for further analysis",2026-02-09T07:46:23Z
IBM-Data-Science,,2026-02-01T05:17:23Z
TimeSeriesAnalysis,"This repository serves as a central hub for all of my projects related to time series analysis. Here, you'll find a collection of projects, code samples, and resources that explore various aspects of time series data and its analysis.",2026-02-09T07:46:30Z
VBAPathologyApp,"This project is a VBA application for managing pathology lab processes, including patient data management and bill generation. The application is designed to be user-friendly and easy to use for lab personnel, including pathologists and lab technicians using user-forms, macros and VBA code",2026-02-09T07:46:29Z
IBM-Data-Science-Ecosystem,,2026-02-09T07:46:40Z
ExtractingandVisualizingStockData,,2026-02-09T07:46:31Z
PythonProjects,This repository is contains all my python projects from small projects to large projects,2026-02-09T07:46:32Z
CovidPorfolioProject,This is a SQL + Tableau Project on real world Covid 19 Dataset from the start of recorded case to 2nd March 2022 i.e My birthday XD,2026-02-09T07:46:34Z
